symptom,disease
Feeling sick or nausea and Vomiting,Recurrent pancreatitis
Feeling sick or nausea and Vomiting,Oesophageal Cancer
Feeling sick or nausea and Vomiting,Gastroenteritis
Feeling sick or nausea and Vomiting,High pressure headache
Feeling sick or nausea and Vomiting,Brain Cancer
"Feeling sick or nausea, Abdominal pain spreading to shoulder blade and Abdominal pain worse on coughing",Acute cholecystitis
"Feeling sick or nausea, Abdominal pain spreading to shoulder blade and Abdominal pain worse on coughing",Inflammation of pancreas
"Feeling sick or nausea, Feeling heart beat and Sweating",Fear of open spaces
"Feeling sick or nausea, Feeling heart beat and Sweating",Claustrophobia
"Feeling sick or nausea, Severe headache and Headache that came on suddenly",Subarachnoid haemorrhage
"Feeling sick or nausea, Severe headache and Headache that came on suddenly",Migraine
"Feeling sick or nausea, Upper abdominal pain and Abdominal pain spreading to shoulder blade",Acute cholecystitis
"Feeling sick or nausea, Upper abdominal pain and Abdominal pain spreading to shoulder blade",Inflammation of pancreas
"Feeling sick or nausea, Upper abdominal pain and Abdominal pain worse on coughing",Inflammation of pancreas
"Feeling sick or nausea, Upper abdominal pain and Abdominal pain worse on coughing",Acute cholecystitis
"Feeling sick or nausea, Upper abdominal pain and Right sided abdominal pain",Acute cholecystitis
"Feeling sick or nausea, Upper abdominal pain and Right sided abdominal pain",Gallstone
"Feeling sick or nausea, Upper abdominal pain and Right sided abdominal pain",Hepatitis
"Feeling sick or nausea, Vomiting and Blurred vision",Subarachnoid haemorrhage
"Feeling sick or nausea, Vomiting and Blurred vision",High pressure headache
"Feeling sick or nausea, Vomiting and Severe headache",Subarachnoid haemorrhage
"Feeling sick or nausea, Vomiting and Severe headache",Brain Cancer
"Feeling sick or nausea, Vomiting and Severe headache",High pressure headache
"Feeling sick or nausea, Vomiting and Upper abdominal pain",Recurrent pancreatitis
"Feeling sick or nausea, Vomiting and Upper abdominal pain",Inflammation of pancreas
"Feeling sick or nausea, Vomiting and Upper abdominal pain",Hepatitis
Feelings of guilt and Difficulty sleeping,Depression
Feelings of guilt and Difficulty sleeping,PTSD
Feelings of guilt and Feeling irritable,PTSD
Feelings of guilt and Feeling irritable,Depression
"Feelings of guilt, Feeling irritable and Difficulty sleeping",PTSD
"Feelings of guilt, Feeling irritable and Difficulty sleeping",Depression
Fingers bending towards palm,Hammer finger
Fingers bending towards palm,Dupuytren's contracture
Fits or  seizure,Encephalitis
Fits or  seizure,Epilepsy
Fits or  seizure,Febrile convulsion
Fits or  seizure and Confusion which is new,Epilepsy
Fits or  seizure and Confusion which is new,Encephalitis
Flaky skin,Psoriasis
Flaky skin,Varicose veins of the leg with eczema
Flushing,Rosacea
Flushing,Menopause
Food sticks on swallowing,Systemic sclerosis
Food sticks on swallowing,Achalasia
Food sticks on swallowing,Oesophageal Cancer
Food sticks on swallowing,Laryngeal Cancer
"Food sticks on swallowing and Continuous, unexplained weight loss",Oesophageal Cancer
"Food sticks on swallowing and Continuous, unexplained weight loss",Achalasia
Foot pain,Rheumatoid arthritis
Foot pain,Bunion
Foot pain,Morton's Neuroma
Foot pain and Pain in toe,Morton's Neuroma
Foot pain and Pain in toe,Bunion
Foot pain and Pain under front of foot,Morton's Neuroma
Foot pain and Pain under front of foot,Bunion
"Foot pain, Pain under front of foot and Pain in toe",Morton's Neuroma
"Foot pain, Pain under front of foot and Pain in toe",Bunion
Gaining weight unintentionally,Polycystic ovaries
Gaining weight unintentionally,Under-active Thyroid
Gaining weight unintentionally,Nephrotic syndrome
Gaining weight unintentionally and Unusually tired,Nephrotic syndrome
Gaining weight unintentionally and Unusually tired,Under-active Thyroid
Groin pain,Prostatitis
Groin pain,Pyelonephritis
Growth or sore on penis,Genital warts in Men
Growth or sore on penis,Penile cancer
Hair loss or thinning,Polycystic ovaries
Hair loss or thinning,Anorexia
Hand stiffness,Dupuytren's contracture
Hand stiffness,Rheumatoid arthritis
Hand stiffness,Repetitive Strain Injury
Head injury,Minor head injury
Head injury,Subdural hemorrhage
Head injury,Major head injury
Head injury and Confused or muddled,Major head injury
Head injury and Confused or muddled,Subdural hemorrhage
Head injury and Feel unbalanced,Major head injury
Head injury and Feel unbalanced,Subdural hemorrhage
Head injury and Feeling sick or nausea,Minor head injury
Head injury and Feeling sick or nausea,Subdural hemorrhage
"Head injury, Feel unbalanced and Confused or muddled",Subdural hemorrhage
"Head injury, Feel unbalanced and Confused or muddled",Major head injury
Headache,Major head injury
Headache,Encephalitis
Headache,Temporal arteritis
Headache,High altitude pulmonary oedema
Headache,Tension headache
Headache,Typhoid fever
Headache,Migraine
Headache,Meningitis
Headache,Malaria
Headache,Dengue
"Headache That Came On Suddenly, Reduced Vision, Severe Headache, Blurred Vision, Stiff Neck, Eyes Sensitive To Light, Vomiting, Feeling Sick Nausea, Seeing Double and Neck Pain",Subarachnoid Haemorrhage
"Headache That Came On Suddenly, Reduced Vision, Severe Headache, Blurred Vision, Stiff Neck, Eyes Sensitive To Light, Vomiting, Feeling Sick Nausea, Seeing Double and Neck Pain",Aneurysm
"Headache That Came On Suddenly, Reduced Vision, Severe Headache, Blurred Vision, Stiff Neck, Eyes Sensitive To Light, Vomiting, Feeling Sick Nausea, Seeing Double and Neck Pain",Migraine
"Headache Worse On Coughing Or Straining, Headache Getting Worse Over Time, Reduced Vision, Severe Headache, Blurred Vision, Vomiting, Feeling Sick Nausea and Seeing Double",Benign Neoplasm Of Brain
"Headache Worse On Coughing Or Straining, Headache Getting Worse Over Time, Reduced Vision, Severe Headache, Blurred Vision, Vomiting, Feeling Sick Nausea and Seeing Double",High Pressure Headache
"Headache Worse On Coughing Or Straining, Headache Getting Worse Over Time, Reduced Vision, Severe Headache, Blurred Vision, Vomiting, Feeling Sick Nausea and Seeing Double",Brain Abscess
"Headache Worse On Coughing Or Straining, Headache Getting Worse Over Time, Reduced Vision, Severe Headache, Blurred Vision, Vomiting, Feeling Sick Nausea and Seeing Double",Brain Cancer
Headache and Confused or muddled,Major head injury
Headache and Confused or muddled,Encephalitis
Headache and Confusion which is new,Major head injury
Headache and Confusion which is new,Encephalitis
Headache and Feeling sick or nausea,Dengue
Headache and Feeling sick or nausea,Typhoid fever
Headache and Feeling sick or nausea,High altitude pulmonary oedema
Headache and Feeling sick or nausea,Migraine
Headache and Severe headache,Migraine
Headache and Severe headache,Temporal arteritis
Headache and Shivering or rigors,Diphtheria
Headache and Shivering or rigors,Dengue
Headache and Shivering or rigors,Malaria
Headache and Unusually tired,Typhoid fever
Headache and Unusually tired,Diphtheria
Headache and Unusually tired,Malaria
Headache and Unusually tired,High altitude pulmonary oedema
Headache and Vomiting,Major head injury
Headache and Vomiting,Dengue
Headache at front of head,Tension headache
Headache at front of head,Sinusitis
Headache getting worse over time,High pressure headache
Headache getting worse over time,Subdural hemorrhage
Headache getting worse over time,Brain Cancer
Headache getting worse over time and Headache on waking up,High pressure headache
Headache getting worse over time and Headache on waking up,Brain Cancer
Headache on waking up,Brain Cancer
Headache on waking up,High pressure headache
Headache that came on suddenly,Migraine
Headache that came on suddenly,Aneurysm
Headache that came on suddenly,Cluster headache
Headache that came on suddenly,Subarachnoid haemorrhage
"Headache, Confused or muddled and Confusion which is new",Encephalitis
"Headache, Confused or muddled and Confusion which is new",Major head injury
"Headache, Feeling sick or nausea and Unusually tired",Typhoid fever
"Headache, Feeling sick or nausea and Unusually tired",High altitude pulmonary oedema
"Headache, Shivering or rigors and Unusually tired",Diphtheria
"Headache, Shivering or rigors and Unusually tired",Malaria
Hearing loss,Glue ear
Hearing loss,Inner Ear Inflammation
Hearing loss in one ear,Acoustic neuroma
Hearing loss in one ear,Otitis media
Hearing loss in one ear,Ménière's disease
Hearing loss in one ear,Nasopharyngeal cancer
Hearing loss in one ear,Mastoiditis
Heavy periods,Fibroid
Heavy periods,Endometrial Cancer
Heavy periods,Pelvic Inflammatory Disease
Heavy periods,Endometriosis
Heavy periods and Bleeding between periods,Endometriosis
Heavy periods and Bleeding between periods,Endometrial Cancer
Heavy periods and Bleeding between periods,Pelvic Inflammatory Disease
Heavy periods and Pain in the pelvic region,Endometriosis
Heavy periods and Pain in the pelvic region,Pelvic Inflammatory Disease
"Heavy periods, Pain in the pelvic region and Bleeding between periods",Pelvic Inflammatory Disease
"Heavy periods, Pain in the pelvic region and Bleeding between periods",Endometriosis
High temperature,Flu
High temperature,Tonsillitis
High temperature,Laryngitis
High temperature,Chest infection
High temperature,Malaria
High temperature,Sinusitis
High temperature,Otitis media
High temperature,Croup
High temperature,Urinary tract infection in children
High temperature,Fifth Disease
High temperature and Abdominal pain spreading to shoulder blade,Acute cholecystitis
High temperature and Abdominal pain spreading to shoulder blade,Inflammation of pancreas
High temperature and Abdominal pain worse on coughing,Diverticulitis
High temperature and Abdominal pain worse on coughing,Acute cholecystitis
High temperature and Abdominal pain worse on coughing,Inflammation of pancreas
High temperature and Aching muscles all over body,Malaria
High temperature and Aching muscles all over body,Glandular Fever
High temperature and Blocked nose,Croup
High temperature and Blocked nose,Fifth Disease
High temperature and Blocked nose,Diphtheria
High temperature and Blocked nose,Measles
High temperature and Blocked nose,Sinusitis
High temperature and Blocked nose,Roseola
High temperature and Blocked nose,Bronchiolitis
High temperature and Change of voice,Laryngitis
High temperature and Change of voice,Tonsillitis
High temperature and Change of voice,Diphtheria
High temperature and Change of voice,Croup
High temperature and Dry cough,Bronchiolitis
High temperature and Dry cough,Whooping cough
High temperature and Excessive sweating at night,Granulomatosis with polyangiitis
High temperature and Excessive sweating at night,Acute myeloid leukaemia
High temperature and Fast or shallow breathing,Bronchiolitis
High temperature and Fast or shallow breathing,Croup
High temperature and Feeding less than usual,Bronchiolitis
High temperature and Feeding less than usual,Urinary tract infection in children
High temperature and Feeling irritable,Mastoiditis
High temperature and Feeling irritable,Kawasaki disease
High temperature and Feeling irritable,Measles
High temperature and Feeling irritable,Urinary tract infection in children
High temperature and Feeling sick or nausea,Pyelonephritis
High temperature and Feeling sick or nausea,Dengue
High temperature and Feeling sick or nausea,Typhoid fever
High temperature and Feeling sick or nausea,Inflammation of pancreas
High temperature and Feeling sick or nausea,Acute cholecystitis
High temperature and Fits or  seizure,Febrile convulsion
High temperature and Fits or  seizure,Encephalitis
High temperature and Headache,Encephalitis
High temperature and Headache,Typhoid fever
High temperature and Headache,Diphtheria
High temperature and Headache,Meningitis
High temperature and Headache,Malaria
High temperature and Headache,Dengue
High temperature and Hearing loss in one ear,Otitis media
High temperature and Hearing loss in one ear,Mastoiditis
High temperature and Mouth soreness,Hand foot and mouth disease
High temperature and Mouth soreness,Kawasaki disease
High temperature and Passing more urine than usual,Pyelonephritis
High temperature and Passing more urine than usual,Urinary tract infection in children
High temperature and Red eyes,Measles
High temperature and Red eyes,Kawasaki disease
High temperature and Runny nose,Whooping cough
High temperature and Runny nose,Diphtheria
High temperature and Runny nose,Measles
High temperature and Runny nose,Roseola
High temperature and Runny nose,Fifth Disease
High temperature and Runny nose,Bronchiolitis
High temperature and Runny nose,Croup
High temperature and Shivering or rigors,Pyelonephritis
High temperature and Shivering or rigors,Dengue
High temperature and Shivering or rigors,Chest infection
High temperature and Shivering or rigors,Diphtheria
High temperature and Shivering or rigors,Malaria
High temperature and Sore throat,Measles
High temperature and Sore throat,Scarlet fever
High temperature and Sore throat,Roseola
High temperature and Sore throat,Diphtheria
High temperature and Sore throat,Hand foot and mouth disease
High temperature and Sore throat,Laryngitis
High temperature and Sore throat,Glandular Fever
High temperature and Sore throat,Tonsillitis
High temperature and Swollen glands in neck,Rubella
High temperature and Swollen glands in neck,Diphtheria
High temperature and Swollen glands in neck,Glandular Fever
High temperature and Swollen glands in neck,Kawasaki disease
High temperature and Swollen tongue with red spots,Kawasaki disease
High temperature and Swollen tongue with red spots,Scarlet fever
High temperature and Unusually tired,Flu
High temperature and Unusually tired,Acute myeloid leukaemia
High temperature and Unusually tired,Chest infection
High temperature and Unusually tired,Chronic Lymphocytic Leukaemia
High temperature and Unusually tired,Chickenpox
High temperature and Unusually tired,Typhoid fever
High temperature and Unusually tired,Malaria
High temperature and Unusually tired,Urinary tract infection in children
High temperature and Unusually tired,Glandular Fever
High temperature and Unusually tired,Tonsillitis
High temperature and Upper abdominal pain,Acute cholecystitis
High temperature and Upper abdominal pain,Inflammation of pancreas
High temperature and Vomiting,Whooping cough
High temperature and Vomiting,Dengue
High temperature and Vomiting,Diverticulitis
High temperature and Vomiting,Inflammation of pancreas
High temperature and White spots on tonsils,Diphtheria
High temperature and White spots on tonsils,Tonsillitis
"High temperature, Abdominal pain spreading to shoulder blade and Abdominal pain worse on coughing",Inflammation of pancreas
"High temperature, Abdominal pain spreading to shoulder blade and Abdominal pain worse on coughing",Acute cholecystitis
"High temperature, Aching muscles all over body and Unusually tired",Malaria
"High temperature, Aching muscles all over body and Unusually tired",Glandular Fever
"High temperature, Blocked nose and Change of voice",Croup
"High temperature, Blocked nose and Change of voice",Diphtheria
"High temperature, Blocked nose and Runny nose",Measles
"High temperature, Blocked nose and Runny nose",Croup
"High temperature, Blocked nose and Runny nose",Roseola
"High temperature, Blocked nose and Runny nose",Fifth Disease
"High temperature, Blocked nose and Runny nose",Diphtheria
"High temperature, Blocked nose and Runny nose",Bronchiolitis
"High temperature, Blocked nose and Sore throat",Diphtheria
"High temperature, Blocked nose and Sore throat",Measles
"High temperature, Blocked nose and Sore throat",Roseola
"High temperature, Blocked nose and Unusually tired",Measles
"High temperature, Blocked nose and Unusually tired",Diphtheria
"High temperature, Change of voice and Runny nose",Croup
"High temperature, Change of voice and Runny nose",Diphtheria
"High temperature, Change of voice and Sore throat",Diphtheria
"High temperature, Change of voice and Sore throat",Tonsillitis
"High temperature, Change of voice and Sore throat",Laryngitis
"High temperature, Change of voice and Unusually tired",Tonsillitis
"High temperature, Change of voice and Unusually tired",Diphtheria
"High temperature, Change of voice and White spots on tonsils",Tonsillitis
"High temperature, Change of voice and White spots on tonsils",Diphtheria
"High temperature, Dry cough and Runny nose",Whooping cough
"High temperature, Dry cough and Runny nose",Bronchiolitis
"High temperature, Fast or shallow breathing and Blocked nose",Croup
"High temperature, Fast or shallow breathing and Blocked nose",Bronchiolitis
"High temperature, Fast or shallow breathing and Runny nose",Croup
"High temperature, Fast or shallow breathing and Runny nose",Bronchiolitis
"High temperature, Feeling irritable and Red eyes",Measles
"High temperature, Feeling irritable and Red eyes",Kawasaki disease
"High temperature, Feeling irritable and Unusually tired",Measles
"High temperature, Feeling irritable and Unusually tired",Urinary tract infection in children
"High temperature, Feeling sick or nausea and Abdominal pain spreading to shoulder blade",Inflammation of pancreas
"High temperature, Feeling sick or nausea and Abdominal pain spreading to shoulder blade",Acute cholecystitis
"High temperature, Feeling sick or nausea and Abdominal pain worse on coughing",Inflammation of pancreas
"High temperature, Feeling sick or nausea and Abdominal pain worse on coughing",Acute cholecystitis
"High temperature, Feeling sick or nausea and Shivering or rigors",Pyelonephritis
"High temperature, Feeling sick or nausea and Shivering or rigors",Dengue
"High temperature, Feeling sick or nausea and Unusually tired",Pyelonephritis
"High temperature, Feeling sick or nausea and Unusually tired",Typhoid fever
"High temperature, Feeling sick or nausea and Upper abdominal pain",Acute cholecystitis
"High temperature, Feeling sick or nausea and Upper abdominal pain",Inflammation of pancreas
"High temperature, Feeling sick or nausea and Vomiting",Inflammation of pancreas
"High temperature, Feeling sick or nausea and Vomiting",Dengue
"High temperature, Headache and Feeling sick or nausea",Dengue
"High temperature, Headache and Feeling sick or nausea",Typhoid fever
"High temperature, Headache and Shivering or rigors",Malaria
"High temperature, Headache and Shivering or rigors",Diphtheria
"High temperature, Headache and Shivering or rigors",Dengue
"High temperature, Headache and Unusually tired",Diphtheria
"High temperature, Headache and Unusually tired",Malaria
"High temperature, Headache and Unusually tired",Typhoid fever
"High temperature, Passing more urine than usual and Unusually tired",Pyelonephritis
"High temperature, Passing more urine than usual and Unusually tired",Urinary tract infection in children
"High temperature, Shivering or rigors and Unusually tired",Diphtheria
"High temperature, Shivering or rigors and Unusually tired",Chest infection
"High temperature, Shivering or rigors and Unusually tired",Pyelonephritis
"High temperature, Shivering or rigors and Unusually tired",Malaria
"High temperature, Sore throat and Runny nose",Roseola
"High temperature, Sore throat and Runny nose",Measles
"High temperature, Sore throat and Runny nose",Diphtheria
"High temperature, Sore throat and Unusually tired",Scarlet fever
"High temperature, Sore throat and Unusually tired",Measles
"High temperature, Sore throat and Unusually tired",Diphtheria
"High temperature, Sore throat and Unusually tired",Glandular Fever
"High temperature, Sore throat and Unusually tired",Tonsillitis
"High temperature, Swollen glands in neck and Sore throat",Glandular Fever
"High temperature, Swollen glands in neck and Sore throat",Diphtheria
"High temperature, Swollen glands in neck and Unusually tired",Glandular Fever
"High temperature, Swollen glands in neck and Unusually tired",Diphtheria
"High temperature, Unusually tired and Runny nose",Measles
"High temperature, Unusually tired and Runny nose",Diphtheria
"High temperature, Upper abdominal pain and Abdominal pain spreading to shoulder blade",Inflammation of pancreas
"High temperature, Upper abdominal pain and Abdominal pain spreading to shoulder blade",Acute cholecystitis
"High temperature, Upper abdominal pain and Abdominal pain worse on coughing",Inflammation of pancreas
"High temperature, Upper abdominal pain and Abdominal pain worse on coughing",Acute cholecystitis
"High temperature, Vomiting and Abdominal pain worse on coughing",Inflammation of pancreas
"High temperature, Vomiting and Abdominal pain worse on coughing",Diverticulitis
"High temperature, White spots on tonsils and Sore throat",Tonsillitis
"High temperature, White spots on tonsils and Sore throat",Diphtheria
"High temperature, White spots on tonsils and Unusually tired",Tonsillitis
"High temperature, White spots on tonsils and Unusually tired",Diphtheria
Hip pain,Osteoarthritis
Hip pain,Irritable hip
Hip pain,Polymyalgia rheumatica
Hip pain,Multiple myeloma
Hip pain and Stiff hip,Irritable hip
Hip pain and Stiff hip,Polymyalgia rheumatica
Hip pain and Unusually tired,Multiple myeloma
Hip pain and Unusually tired,Polymyalgia rheumatica
Increased appetite,Overactive Thyroid
Increased appetite,Depression
Intentional weight loss,Anorexia
Intentional weight loss,Bulimia
Irregular or infrequent periods,Anorexia
Irregular or infrequent periods,Bulimia
Irregular or infrequent periods,Menopause
Irregular or infrequent periods and Intentional weight loss,Bulimia
Irregular or infrequent periods and Intentional weight loss,Anorexia
Irregular or infrequent periods and Obsessed with weight or appearance,Anorexia
Irregular or infrequent periods and Obsessed with weight or appearance,Bulimia
"Irregular or infrequent periods, Obsessed with weight or appearance and Intentional weight loss",Bulimia
"Irregular or infrequent periods, Obsessed with weight or appearance and Intentional weight loss",Anorexia
Itchy anus,Piles
Itchy anus,Anal fistula
Itchy anus and Pain when passing stools,Piles
Itchy anus and Pain when passing stools,Anal fistula
Itchy eyes,Dry eyes
Itchy eyes,Infective conjunctivitis
Itchy eyes,Hay fever
Itchy eyes,Allergic rhinitis
Itchy eyes,Inflammation of eyelids
Itchy eyes and Eye pain,Infective conjunctivitis
Itchy eyes and Eye pain,Dry eyes
Itchy eyes and Eye pain,Inflammation of eyelids
Itchy eyes and Runny nose,Hay fever
Itchy eyes and Runny nose,Allergic rhinitis
Itchy eyes and Watery eyes,Allergic rhinitis
Itchy eyes and Watery eyes,Hay fever
"Itchy eyes, Runny nose and Watery eyes",Hay fever
"Itchy eyes, Runny nose and Watery eyes",Allergic rhinitis
Itchy rash,Ringworm
Itchy rash,Eczema
Itchy rash,Prickly heat
Itchy rash,Chickenpox
Itchy rash,Varicose veins of the leg with eczema
Itchy rash,Athlete's Foot
Itchy rash,Psoriasis
Itchy rash,Chilblains
Itchy rash,Shingles
Itchy rash,Infestation by Sarcoptes scabiei var hominis
Itchy rash and Blistering rash,Chickenpox
Itchy rash and Blistering rash,Shingles
"Itchy rash and Blisters on chest, abdomen or back",Shingles
"Itchy rash and Blisters on chest, abdomen or back",Chickenpox
Itchy rash and Dry skin,Psoriasis
Itchy rash and Dry skin,Eczema
Itchy rash and Dry skin,Varicose veins of the leg with eczema
Itchy rash and Flaky skin,Varicose veins of the leg with eczema
Itchy rash and Flaky skin,Psoriasis
Itchy rash and Rash between toes and or fingers,Infestation by Sarcoptes scabiei var hominis
Itchy rash and Rash between toes and or fingers,Athlete's Foot
Itchy rash and Swelling of the face,Angioedema
Itchy rash and Swelling of the face,Severe allergic reaction
Itchy rash and Swollen feet or ankles,Angioedema
Itchy rash and Swollen feet or ankles,Varicose veins of the leg with eczema
Itchy rash and Swollen lip,Severe allergic reaction
Itchy rash and Swollen lip,Angioedema
"Itchy rash, Blisters on chest, abdomen or back and Blistering rash",Shingles
"Itchy rash, Blisters on chest, abdomen or back and Blistering rash",Chickenpox
"Itchy rash, Dry skin and Flaky skin",Varicose veins of the leg with eczema
"Itchy rash, Dry skin and Flaky skin",Psoriasis
"Itchy rash, Swelling of the face and Swollen lip",Angioedema
"Itchy rash, Swelling of the face and Swollen lip",Severe allergic reaction
Itchy skin,Infestation by Sarcoptes scabiei var hominis
Itchy skin,Postherpetic neuralgia
Itchy vagina,Vulval Cancer
Itchy vagina,Vaginal thrush
Itchy vagina,Vaginitis
Itchy vagina and Pain in vagina,Vulval Cancer
Itchy vagina and Pain in vagina,Vaginitis
Itchy vagina and Unusual vaginal discharge,Vulval Cancer
Itchy vagina and Unusual vaginal discharge,Vaginitis
Itchy vagina and Unusual vaginal discharge,Vaginal thrush
"Itchy vagina, Unusual vaginal discharge and Pain in vagina",Vaginitis
"Itchy vagina, Unusual vaginal discharge and Pain in vagina",Vulval Cancer
Jaw pain when eating,Temporal arteritis
Jaw pain when eating,Temporomandibular joint disorder
Jaw pain when eating,Teeth grinding
Jaw pain when eating,Salivary gland stone
Leg pain,Varicose veins
Leg pain,Peripheral Artery Disease
Leg pain,DVT
Leg pain,Shooting pain down back of leg
Leg pain,Venous Ulcer
Leg pain,Complex regional pain syndrome
Leg pain and Leg swelling,DVT
Leg pain and Leg swelling,Varicose veins
Leg pain and Leg swelling,Venous Ulcer
Leg pain and Swollen feet or ankles,Venous Ulcer
Leg pain and Swollen feet or ankles,Varicose veins
"Leg pain, Swollen feet or ankles and Leg swelling",Varicose veins
"Leg pain, Swollen feet or ankles and Leg swelling",Venous Ulcer
Leg swelling,Venous Ulcer
Leg swelling,Varicose veins of the leg with eczema
Leg swelling,Lymphoedema
Leg swelling,DVT
Leg swelling,Nephrotic syndrome
Leg swelling,Varicose veins
Lightheaded or feeling dizzy,High altitude pulmonary oedema
Lightheaded or feeling dizzy,Minor head injury
Lightheaded or feeling dizzy,Major head injury
Lightheaded or feeling dizzy,Anorexia
Lightheaded or feeling dizzy,Inner Ear Inflammation
Lightheaded or feeling dizzy,SVT
Lightheaded or feeling dizzy,Sensation of room spinning
Lightheaded or feeling dizzy and Feel unbalanced,Major head injury
Lightheaded or feeling dizzy and Feel unbalanced,Sensation of room spinning
Lightheaded or feeling dizzy and Feeling sick or nausea,High altitude pulmonary oedema
Lightheaded or feeling dizzy and Feeling sick or nausea,Minor head injury
Lightheaded or feeling dizzy and Head injury,Major head injury
Lightheaded or feeling dizzy and Head injury,Minor head injury
Lightheaded or feeling dizzy and Headache,High altitude pulmonary oedema
Lightheaded or feeling dizzy and Headache,Major head injury
Lightheaded or feeling dizzy and Sensation of room spinning,Sensation of room spinning
Lightheaded or feeling dizzy and Sensation of room spinning,Inner Ear Inflammation
Lightheaded or feeling dizzy and Shortness of breath,SVT
Lightheaded or feeling dizzy and Shortness of breath,High altitude pulmonary oedema
Lightheaded or feeling dizzy and Unusually tired,SVT
Lightheaded or feeling dizzy and Unusually tired,High altitude pulmonary oedema
"Lightheaded or feeling dizzy, Shortness of breath and Unusually tired",High altitude pulmonary oedema
"Lightheaded or feeling dizzy, Shortness of breath and Unusually tired",SVT
Locked jaw,Tetanus
Locked jaw,Temporomandibular joint disorder
Loss of appetite,Inflammation of pancreas
Loss of appetite,Hand foot and mouth disease
Loss of appetite,Alcoholic liver disease
Loss of appetite,Depression
Loss of appetite,Oesophageal Cancer
Loss of appetite,Liver cancer
Loss of appetite,Chickenpox
Loss of appetite,Typhoid fever
Loss of appetite,Hepatitis
Loss of appetite,TB
"Loss of appetite and Continuous, unexplained weight loss",TB
"Loss of appetite and Continuous, unexplained weight loss",Liver cancer
"Loss of appetite and Continuous, unexplained weight loss",Bile duct Cancer
"Loss of appetite and Continuous, unexplained weight loss",Oesophageal Cancer
Loss of appetite and Cough,TB
Loss of appetite and Cough,Granulomatosis with polyangiitis
Loss of appetite and Diarrhoea,Alcoholic liver disease
Loss of appetite and Diarrhoea,Typhoid fever
Loss of appetite and Excessive sweating at night,TB
Loss of appetite and Excessive sweating at night,Granulomatosis with polyangiitis
Loss of appetite and Feeling irritable,Depression
Loss of appetite and Feeling irritable,Measles
Loss of appetite and Feeling sick or nausea,Hepatitis
Loss of appetite and Feeling sick or nausea,Oesophageal Cancer
Loss of appetite and Feeling sick or nausea,Inflammation of pancreas
Loss of appetite and Feeling sick or nausea,Typhoid fever
Loss of appetite and Feeling sick or nausea,Alcoholic liver disease
Loss of appetite and High temperature,Measles
Loss of appetite and High temperature,Granulomatosis with polyangiitis
Loss of appetite and High temperature,Hand foot and mouth disease
Loss of appetite and High temperature,Chickenpox
Loss of appetite and High temperature,Inflammation of pancreas
Loss of appetite and High temperature,Typhoid fever
Loss of appetite and Right sided abdominal pain,Bile duct Cancer
Loss of appetite and Right sided abdominal pain,Hepatitis
Loss of appetite and Skin rash,Hand foot and mouth disease
Loss of appetite and Skin rash,Measles
Loss of appetite and Sore throat,Hand foot and mouth disease
Loss of appetite and Sore throat,Measles
Loss of appetite and Unusually tired,Alcoholic liver disease
Loss of appetite and Unusually tired,Liver cancer
Loss of appetite and Unusually tired,TB
Loss of appetite and Unusually tired,Typhoid fever
Loss of appetite and Unusually tired,Measles
Loss of appetite and Unusually tired,Nephrotic syndrome
Loss of appetite and Unusually tired,Chickenpox
Loss of appetite and Unusually tired,Hepatitis
Loss of appetite and Unusually tired,Depression
Loss of appetite and Upper abdominal pain,Hepatitis
Loss of appetite and Upper abdominal pain,Inflammation of pancreas
Loss of appetite and Upper abdominal pain,Bile duct Cancer
Loss of appetite and Vomiting,Inflammation of pancreas
Loss of appetite and Vomiting,Oesophageal Cancer
Loss of appetite and Vomiting,Liver cancer
Loss of appetite and Vomiting,Hepatitis
Loss of appetite and Yellow skin or eyes,Hepatitis
Loss of appetite and Yellow skin or eyes,Bile duct Cancer
Loss of appetite and Yellow skin or eyes,Liver cancer
"Loss of appetite, Cough and Excessive sweating at night",Granulomatosis with polyangiitis
"Loss of appetite, Cough and Excessive sweating at night",TB
"Loss of appetite, Feeling sick or nausea and Unusually tired",Hepatitis
"Loss of appetite, Feeling sick or nausea and Unusually tired",Alcoholic liver disease
"Loss of appetite, Feeling sick or nausea and Unusually tired",Typhoid fever
"Loss of appetite, Feeling sick or nausea and Upper abdominal pain",Hepatitis
"Loss of appetite, Feeling sick or nausea and Upper abdominal pain",Inflammation of pancreas
"Loss of appetite, Feeling sick or nausea and Vomiting",Oesophageal Cancer
"Loss of appetite, Feeling sick or nausea and Vomiting",Hepatitis
"Loss of appetite, Feeling sick or nausea and Vomiting",Inflammation of pancreas
"Loss of appetite, Skin rash and High temperature",Measles
"Loss of appetite, Skin rash and High temperature",Hand foot and mouth disease
"Loss of appetite, Skin rash and Sore throat",Hand foot and mouth disease
"Loss of appetite, Skin rash and Sore throat",Measles
"Loss of appetite, Unusually tired and Continuous, unexplained weight loss",Liver cancer
"Loss of appetite, Unusually tired and Continuous, unexplained weight loss",TB
"Loss of appetite, Upper abdominal pain and Right sided abdominal pain",Bile duct Cancer
"Loss of appetite, Upper abdominal pain and Right sided abdominal pain",Hepatitis
"Loss of appetite, Vomiting and Continuous, unexplained weight loss",Liver cancer
"Loss of appetite, Vomiting and Continuous, unexplained weight loss",Oesophageal Cancer
"Loss of appetite, Vomiting and Unusually tired",Hepatitis
